"area_key";"time_key";"index_key";"temp"
"A01";"T01";"BOM1";28
"A01";"T04";"BOM2";30
"A01";"T07";"BOM3";24
"A01";"T10";"BOM4";28
"A02";"T02";"BEN1";19
"A02";"T05";"BEN2";26
"A02";"T08";"BEN3";21
"A02";"T11";"BEN4";20
"A03";"T03";"NAG1";22
"A03";"T06";"NAG2";40
"A03";"T09";"NAG3";26
"A03";"T12";"NAG4";21
"A04";"T01";"DEL1";20
"A04";"T04";"DEL2";32
"A04";"T07";"DEL3";39
"A04";"T10";"DEL4";28
"A05";"T02";"HYD1";20
"A05";"T05";"HYD2";33
"A05";"T08";"HYD3";24
"A05";"T11";"HYD4";23
"A06";"T03";"JAI1";17
"A06";"T06";"JAI2";37
"A06";"T09";"JAI3";30
"A06";"T12";"JAI4";18
"A07";"T01";"KAN1";17
"A07";"T04";"KAN2";30
"A07";"T07";"KAN3";39
"A07";"T10";"KAN4";25
"A08";"T02";"PUN1";22
"A08";"T05";"PUN2";27
"A08";"T08";"PUN3";21
"A08";"T11";"PUN4";22
